employee_id,full_name,email,department,role,hire_date,manager_id,employment_status,total_events,total_download_mb,after_hours_pct,failed_pct,high_sens_pct,foreign_ip_events,avg_rule_score,anomaly_score,final_risk_score,risk_level,is_anomaly
EMP1000,Michelle Barnett,michaeljohnson@example.org,Engineering,Software Engineer,2019-07-11,EMP1037,Active,106,681.23,0.5849056603773585,0.05660377358490566,0.49056603773584906,2,54.924528301886795,35.71,47.24,Medium,True
EMP1001,Judy Nelson,conwayjoseph@example.net,Sales,Sales Rep,2022-11-04,EMP1138,Active,51,299.41,0.2549019607843137,0.0392156862745098,0.45098039215686275,4,50.96078431372549,14.14,36.23,Medium,False
EMP1002,Joshua Williams,kingmark@example.com,Finance,CFO,2018-12-09,EMP1057,Active,63,306.90999999999997,0.31746031746031744,0.07936507936507936,0.3333333333333333,2,44.888888888888886,11.15,31.39,Medium,False
EMP1003,Laura Flowers,slandry@example.net,Legal,Paralegal,2023-02-01,EMP1089,Terminating,53,545.51,0.2830188679245283,0.07547169811320754,0.4716981132075472,1,51.15094339622642,17.01,37.49,Medium,False
EMP1004,Patricia Wilson,anorris@example.org,Operations,Analyst,2019-05-14,EMP1132,Active,63,605.35,0.30158730158730157,0.07936507936507936,0.38095238095238093,3,48.317460317460316,11.15,33.45,Medium,False
EMP1005,Holly Miller,robertclark@example.org,Engineering,Senior Engineer,2020-03-11,EMP1039,Active,58,306.32,0.3793103448275862,0.0,0.3620689655172414,0,45.741379310344826,17.92,34.61,Medium,False
EMP1006,Brittany Cortez,shirley72@example.net,HR,HR Manager,2025-10-10,EMP1051,Active,52,405.13,0.28846153846153844,0.057692307692307696,0.5,0,47.30769230769231,11.35,32.92,Medium,False
EMP1007,Shawn Mills,kristin86@example.net,Finance,Auditor,2024-11-06,EMP1030,Active,56,496.8,0.25,0.05357142857142857,0.39285714285714285,2,49.482142857142854,10.07,33.72,Medium,False
EMP1008,Julian Gonzalez,joshua13@example.com,HR,HR Manager,2025-04-08,EMP1051,Active,58,216.51999999999998,0.27586206896551724,0.06896551724137931,0.4482758620689655,1,47.793103448275865,5.94,31.05,Medium,False
EMP1009,Jessica Carlson,anthonygraham@example.net,Sales,SDR,2025-01-24,EMP1138,Active,56,348.40999999999997,0.19642857142857142,0.10714285714285714,0.375,4,46.125,15.6,33.92,Medium,False
EMP1010,Kari Bell,davisjose@example.com,Sales,Sales Rep,2020-05-08,EMP1069,Active,60,356.62,0.26666666666666666,0.03333333333333333,0.2833333333333333,2,45.45,11.63,31.92,Medium,False
EMP1011,Sean Shepherd,jacksondavid@example.net,IT,IT Admin,2023-09-22,EMP1050,Active,87,513.46,0.5977011494252874,0.034482758620689655,0.3793103448275862,5,54.39080459770115,31.36,45.18,Medium,False
EMP1012,Jonathan Bird,richardpowell@example.net,Engineering,Software Engineer,2020-10-26,EMP1020,Active,51,245.56,0.27450980392156865,0.0784313725490196,0.35294117647058826,3,48.745098039215684,13.26,34.55,Medium,False
EMP1013,Stephanie Mcfarland,anthonyshelton@example.org,HR,Recruiter,2026-03-21,EMP1051,Active,50,342.86,0.28,0.06,0.4,2,48.04,0.0,28.82,Low,False
EMP1014,Colleen Oliver,thomasperez@example.net,Finance,Accountant,2019-07-13,EMP1067,Active,97,543.03,0.6082474226804123,0.020618556701030927,0.4020618556701031,3,54.329896907216494,30.4,44.76,Medium,False
EMP1015,Timothy Sandoval,flopez@example.net,Sales,Sales Rep,2019-08-10,EMP1119,Active,63,486.07,0.30158730158730157,0.06349206349206349,0.42857142857142855,1,46.285714285714285,2.89,28.93,Low,False
EMP1016,Dr. Betty Kim PhD,samanthabruce@example.net,Sales,Account Manager,2025-06-06,EMP1054,Terminating,65,469.68,0.35384615384615387,0.046153846153846156,0.4307692307692308,4,48.56923076923077,23.78,38.65,Medium,False
EMP1017,Lindsay Rodriguez,christophersmith@example.com,Legal,General Counsel,2022-12-14,EMP1145,On_Leave,90,436.08,0.6333333333333333,0.03333333333333333,0.43333333333333335,4,54.922222222222224,24.15,42.61,Medium,False
EMP1018,Kevin Leach,gilbertandrea@example.com,Sales,Account Manager,2020-12-27,EMP1077,Active,96,631.21,0.5729166666666666,0.052083333333333336,0.4479166666666667,2,55.354166666666664,28.02,44.42,Medium,False
EMP1019,Timothy Perry,htrevino@example.com,Engineering,DevOps,2023-06-10,EMP1103,Active,46,395.15999999999997,0.34782608695652173,0.043478260869565216,0.32608695652173914,2,46.608695652173914,11.72,32.65,Medium,False
EMP1020,Kimberly Johnson,hayesmathew@example.com,Engineering,Architect,2020-01-31,EMP1012,On_Leave,56,367.2,0.25,0.08928571428571429,0.44642857142857145,3,48.285714285714285,8.53,32.38,Medium,False
EMP1021,Heidi Mcguire,parksmarcus@example.com,Engineering,Tech Lead,2025-05-11,EMP1028,Active,64,598.08,0.28125,0.015625,0.328125,1,46.125,16.76,34.38,Medium,False
EMP1022,Henry Evans,krystalallen@example.net,Finance,Financial Analyst,2023-02-22,EMP1007,Active,67,631.15,0.34328358208955223,0.05970149253731343,0.47761194029850745,2,52.791044776119406,12.24,36.57,Medium,False
EMP1023,Eric Wolfe,ocampos@example.com,IT,Security Analyst,2023-09-18,EMP1108,Active,61,313.75,0.2459016393442623,0.06557377049180328,0.45901639344262296,1,46.42622950819672,8.5,31.26,Medium,False
EMP1024,Melissa Zamora,claudia06@example.net,Finance,Controller,2024-07-08,EMP1111,Active,65,481.34999999999997,0.24615384615384617,0.03076923076923077,0.47692307692307695,0,45.61538461538461,11.53,31.98,Medium,False
EMP1025,Christian Peterson,omckenzie@example.com,Legal,Compliance Officer,2022-01-28,EMP1053,Active,64,657.55,0.265625,0.046875,0.4375,2,51.765625,13.81,36.58,Medium,False
